business_name,url,new_ig,new_fb,new_phone,new_website,new_wa,new_email,notes
"3 Bamboo Ecolodge - Cahuita, Limón, Costa Rica",https://www.puertoviejosatellite.com/en/cahuita/3-bamboo-ecolodge/,,,,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,,,
7 Ice Creams,https://www.puertoviejosatellite.com/en/puerto-viejo/7-ice-creams/,,,,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,,,
ATEC,https://www.puertoviejosatellite.com/en/puerto-viejo/atec/,,,+506 2750-0398,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,wa.me/50687064758,,
Adobe EasyCar Rent a Car,https://www.puertoviejosatellite.com/en/puerto-viejo/adobe-easycar-rent-a-car/,,,+506 8920 1948,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,wa.me/50689201948,,
Alamo Enterprise Car Rental,https://www.puertoviejosatellite.com/en/puerto-viejo/alamo-enterprise-car-rental/,,,,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,,,
Alcoholics Anonymous,https://www.puertoviejosatellite.com/en/puerto-viejo/alcoholics-anonymous/,,,,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,,,
"Aldina's Guest House - Cahuita, Limón, Costa Rica",https://www.puertoviejosatellite.com/en/cahuita/aldinas-guest-house/,,,,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,,,
"Alloro Jungle Villas - Playa Cocles, Puerto Viejo, Limón, Costa Rica",https://www.puertoviejosatellite.com/en/cocles/alloro-jungle-villas/,,,,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,,,
"Almacen San Francisco - Playa Negra, Puerto Viejo, Limón, Costa Rica",https://www.puertoviejosatellite.com/en/playa-negra/almacen-san-francisco/,,,,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,,,
"Almonds and Corals Boutique Hotel - Manzanillo, Limón, Costa Rica",https://www.puertoviejosatellite.com/en/manzanillo/almonds-and-corals-boutique-hotel/,,,,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,,,
Aloe Boutique,https://www.puertoviejosatellite.com/en/puerto-viejo/aloe-boutique/,,,,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,,,
Aloha Skincare and Wellness,https://www.puertoviejosatellite.com/en/puerto-viejo/aloha-skincare-and-wellness/,,,,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,,,
"Aloki Village - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",https://www.puertoviejosatellite.com/en/playa-chiquita/aloki-village/,,,,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,,,
Ambar Tattoo Space,https://www.puertoviejosatellite.com/en/puerto-viejo/ambar-tattoo-space/,,,,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,,,
Amimodo Beach Rooms,https://www.puertoviejosatellite.com/en/puerto-viejo/amimodo-beach-rooms/,puertoviejosat,https://facebook.com/puertoviejo,,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,,,
Amimodo Restaurant,https://www.puertoviejosatellite.com/en/puerto-viejo/amimodo-restaurant/,,,,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,,,
"Angler's Lair - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",https://www.puertoviejosatellite.com/en/playa-chiquita/anglers-lair/,,,,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,,,
"Ara Manzanillo - Manzanillo, Limón, Costa Rica",https://www.puertoviejosatellite.com/en/manzanillo/ara-manzanillo/,,,,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,,,
"AroCocles - Playa Cocles, Puerto Viejo, Limón, Costa Rica",https://www.puertoviejosatellite.com/en/cocles/arococles/,,,,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,,,
"Aroma Coffee Bar and Breakfast - Cahuita, Limón, Costa Rica",https://www.puertoviejosatellite.com/en/cahuita/aroma-coffee-bar-and-breakfast/,,,,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,,,
"Arrecife Hotel y Restaurante - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",https://www.puertoviejosatellite.com/en/punta-uva/arrecife-hotel-y-restaurante/,,,,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,,,
"Asante Bistro & Café - Cahuita, Limón, Costa Rica",https://www.puertoviejosatellite.com/en/cahuita/asante-bistro-cafe/,,,,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,,,
"Atlantida Lodge - Cahuita, Limón, Costa Rica",https://www.puertoviejosatellite.com/en/cahuita/atlantida-lodge/,,,,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,,,
Automotriz Danny,https://www.puertoviejosatellite.com/en/puerto-viejo/automotriz-danny/,,,,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,,,
"Awa Beach Boutique Hotel - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",https://www.puertoviejosatellite.com/en/punta-uva/awa-beach-boutique-hotel/,,,,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js,,,
