business_name,phone,website,instagram,facebook,google_maps_cid,confidence,notes,instagram_handle,instagram_url,ig_verified,ig_verify_date,instagram_enrich_source,instagram_enrich_date,instagram_enrich_confidence,instagram_confidence
Abba Home,,,@abbahome_puertoviejo,,,low,No reliable contact or social profile found in web search.,abbahome_puertoviejo,https://www.instagram.com/abbahome_puertoviejo/,true,2026-07-06,ddg_search,2026-07-06,high,verified
ALMA Masajes,,,@alma.masajes.spa,,,low,No reliable contact or social profile found in web search.,alma.masajes.spa,https://www.instagram.com/alma.masajes.spa/,true,2026-07-06,ddg_search,2026-07-06,high,verified
Alojamiento kon-tiky,,,,,,low,No reliable contact or social profile found in web search.,,,,,,,,
Api-Rescate,,,,,,low,No reliable contact or social profile found in web search.,,,,,,,,
Ariel Apartment's,,,,,,low,No reliable contact or social profile found in web search.,,,,,,,,
Arrecife El Chino,,,,,,low,No reliable contact or social profile found in web search.,,,,,,,,
Beach Trail,,,,,,low,No reliable contact or social profile found in web search.,,,,,,,,
Beauty Ritual Spa,,,,,,low,No reliable contact or social profile found in web search.,,,,,,,,
BERACA,,,,,,low,No reliable contact or social profile found in web search.,,,,,,,,
Blessed Hands Massage Therapy,,,,,,low,No reliable contact or social profile found in web search.,,,,,,,,
Blue Dreams Hotel,,,,,,low,No reliable contact or social profile found in web search.,,,,,,,,
Buddy's Sloth Crossing,,,,,,low,No reliable contact or social profile found in web search.,,,,,,,,
Bugambilia Inn,,,,,,low,No reliable contact or social profile found in web search.,,,,,,,,
Cabañas KiaMiMi,,,,,,low,No reliable contact or social profile found in web search.,,,,,,,,
Cabina trepazul,,,,,,low,No reliable contact or social profile found in web search.,,,,,,,,
Cabinas Bambu,,,,,,low,No reliable contact or social profile found in web search.,,,,,,,,
Cabinas KiAMiMi,,,,,,low,No reliable contact or social profile found in web search.,,,,,,,,
Cabinas KiMiMi,,,,,,low,No reliable contact or social profile found in web search.,,,,,,,,
Cabinas KlaMiMi,,,,,,low,No reliable contact or social profile found in web search.,,,,,,,,
Cabinas Yemanya,,,,,,low,No reliable contact or social profile found in web search.,,,,,,,,
Café Jaguar & Art Gallery,,,,,,low,No reliable contact or social profile found in web search.,,,,,,,,
Caribbean Blue Morpho Casitas,,,,,,low,No reliable contact or social profile found in web search.,,,,,,,,
Caribbean Hill Villas,,,,,,low,No reliable contact or social profile found in web search.,,,,,,,,
CaribeZen,,,,,,low,No reliable contact or social profile found in web search.,,,,,,,,
Casa Alegra,,,,,,low,No reliable contact or social profile found in web search.,,,,,,,,
Casa Alegre,,,,,,low,No reliable contact or social profile found in web search.,,,,,,,,
Casa Amma,,,,,,low,No reliable contact or social profile found in web search.,,,,,,,,
