business_name,category,latitude,longitude,website,phone,email,instagram,facebook,opening_hours,addr_city,addr_street,all_contact_tags
Hotel Cariblue,hotel,9.6504068,-82.7394595,https://www.cariblue.com/,2750-0035,,,,,,,{}
Totem Hotel Resort & Restaurant,hotel,9.6462422,-82.7322216,http://www.totemhotel.com/es/,2750-0758,,,,,,,{}
Azania Bungalow,hotel,9.6497813,-82.7377092,www.azania-costarica.com,2750-0540,info@azania-costarica.com,,,,Talamanca,,{}
Beach Hut,hotel,9.6577326,-82.752862,,2750-0895,,,,,Puerto Viejo,,{}
Cabinas El Tesoro,hotel,9.6521579,-82.7400186,www.cabinaseltesoro.com,2750-0128,cabinaseltesoro@puertoviejo.net,,,,Puerto Viejo,,{}
Hotel Posada Nena,hotel,9.6567029,-82.7513293,https://www.posadanena.com/,27502064,,,,,Puerto Viejo,,{}
Geckoes Lodge,hotel,9.6352661,-82.7346106,https://www.geckoeslodge.com/,506 2750 0908,,,,,Talamanca,Calle El Parque,{}
Los Continentes,hotel,9.6428984,-82.7264451,www.loscontinentes.net,506 2759 9263,,,,,Talamanca,,{}
Namuwoki Lodge,hotel,9.6376526,-82.7131081,https://www.namuwoki.com/,506 2750 0278,,,,,Talamanca,,{}
Physis Caribbean Bed & Breakfast,hotel,9.6432097,-82.7326822,https://www.physiscaribbean.net/,506 8866 4405,,,,,Talamanca,,{}
Tierra de Suenos Lodge,hotel,9.6380977,-82.7125281,,705 797 4940,,,,,Talamanca,,{}
Lapalapa Beach Front Hotel,hotel,9.6446765,-82.7282387,,+506 88178041,,,,,Cocles,,{}
Pipa Lodge,hotel,9.6465403,-82.7328508,,61868771,,,,,,,{}
Paula's and Daniel's Homestay,hotel,9.6566042,-82.744193,,+50683044376,,,,24/7,,,{}
Casa Trinidad,hotel,9.6568213,-82.7488544,,,psalmeron1969@gmail.com,,,,,,{}
Casa Tuareg,hotel,9.6563765,-82.748938,,,psalmeron1969@gmail.com,,,,Puerto Viejo,Calle 221,{}
Casa Badawi,hotel,9.6567388,-82.7486162,https://airbnb.co.cr/h/casabadawi,+50687047926,psalmeron1969@gmail.com,,,,Puerto Viejo,BADAWI STREET,{}
Cabinas Orange Green,hotel,9.6593823,-82.7492074,,44016057,,,,,,,{}
Hotel Relax Natural Village,hotel,9.643164,-82.7333523,https://www.relaxnaturalvillage.com/Home/fbclid/IwY2xjawEWYSlleHRuA2FlbQIxMQABHYRFDn7k8N8BHS0pMRZ6KVt4IIGHpj2ORE-ckK3EavXrO91Q2OEZ6eMFBg_aem_yaDRDsWWbouWura_47sXmQ,+50627568160,info@relaxnaturalvillage.com,,,,"Cocles, Talamanca",,{}
Harmony: Mini Casa Rodante by Aptos Casa Caribe,hotel,9.6500053,-82.7613801,https://www.aptocasacaribecr.com/,+506 8873 3707,aptoscasacaribecr@gmail.com,,,,Puerto Viejo,Calle Los Turrialbeños,{}
Cabinas Wray,hotel,9.6526418,-82.762185,,506 8740 2102,,,,,,,{}
Hotel Aguas Claras,hotel,9.6428901,-82.720446,https://hotelaguasclaras.com,+1 844-828-4277,,,,,,,{}
Río Negro,restaurant,9.6439079,-82.7320862,,+506 2750 0155,,,,,,,{}
Da Lime Beach Club & Restaurant,restaurant,9.6444422,-82.7197417,,+50627500131,,,,Mo-Su 11:00-17:00,,,{}
Puerto Viejo de Talamanca,restaurant,9.6496543,-82.7750879,https://www.facebook.com/cholasplace,+506 8447-7485,,,,"We,Fr-Sa,Th,Mo,Su 11:00-22:00",,Vía 256,{}
Jungle Air Parapente,shopping,9.6577124,-82.7552944,,+506 8403 8717,,,,,,Calle 215,{}
Panadería Francés,shopping,9.6447588,-82.7289754,alain01barisy@gmail.com,84983901,,,,,,Cocles,{}
Choco,shopping,9.6572947,-82.753583,https://cho.co.cr,+506 600 7258,info@cho.co.cr,https://www.instagram.com/cho.co.cr/,https://www.facebook.com/www.cho.co.cr,,,,"{'contact:facebook': 'https://www.facebook.com/www.cho.co.cr', 'contact:instagram': 'https://www.instagram.com/cho.co.cr/', 'contact:whatsapp': '+506 6363 4274'}"
Refugio de animales Jaguar,tour_company,9.6420923,-82.7232243,https://www.jaguarrescue.foundation/,+5062750-0710,info@jaguarrescue.foundation,,,Mo-Sa 09:30-11:30,,,{}
