business_name,phone,website,instagram_handle,instagram_url,facebook_url,google_maps_cid,category,area,description,url,verified_date,operating_status,source
"3 Bamboo Ecolodge - Cahuita, Limón, Costa Rica",+506 2755 0126,https://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Hotel_Review-g309262-d3962763-Reviews-3_Bamboo_Ecolodge-Cahuita_Province_of_Limon.html,3_bamboo,https://www.instagram.com/3_bamboo/,,4522237674630690631,hotel,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/3-bamboo-ecolodge/,2025-09-14,active,pvs_cache
"Aldina's Guest House - Cahuita, Limón, Costa Rica",+506 6094 3361,,,,https://www.facebook.com/aldinasguesthouse,6863214499245926667,hotel,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/aldinas-guest-house/,2025-11-02,active,pvs_cache
"Almonds and Corals Boutique Hotel - Manzanillo, Limón, Costa Rica",+506 4040 0005,,,,,,hotel,Manzanillo,Get directions,https://www.puertoviejosatellite.com/en/manzanillo/almonds-and-corals-boutique-hotel/,2025-09-06,active,pvs_cache
"Ara Manzanillo - Manzanillo, Limón, Costa Rica",+506 8971-1436,https://aramanzanillo.org,,,https://www.facebook.com/profile.php?id=100075604910711,10605010078218467955,tour_company,Manzanillo,Get directions,https://www.puertoviejosatellite.com/en/manzanillo/ara-manzanillo/,2025-09-22,active,pvs_cache
"Aroma Coffee Bar and Breakfast - Cahuita, Limón, Costa Rica",+506 8808 6445,,aroma_cahuita,https://www.instagram.com/aroma_cahuita/,https://www.facebook.com/aromacoffebar,730773173410850082,restaurant,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/aroma-coffee-bar-and-breakfast/,2025-10-01,active,pvs_cache
"Asante Bistro & Café - Cahuita, Limón, Costa Rica",+506 8360 3018,,asante_cahuita,https://www.instagram.com/asante_cahuita/,,16025283821069438745,restaurant,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/asante-bistro-cafe/,2025-12-15,active,pvs_cache
"Atlantida Lodge - Cahuita, Limón, Costa Rica",+506 2755-0115,,,,https://www.facebook.com/atlantidalodge,14413272263548243777,hotel,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/atlantida-lodge/,2025-09-28,active,pvs_cache
"Babilonia - Cahuita, Limón, Costa Rica",+506 6057 0613,,,,https://www.facebook.com/calixto2702,18308537531085424661,vacation_rental,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/babilonia/,2025-09-25,active,pvs_cache
"Banco de Costa Rica Cahuita - Cahuita, Limón, Costa Rica",+506 2211 1111,,,,,17086188142975557626,services,Cahuita,Get directions,https://www.puertoviejosatellite.com/en/cahuita/banco-de-costa-rica-cahuita/,2025-08-17,active,pvs_cache
"Bendita Comida - Bribri, Limón, Costa Rica",+506 8820 2410,,,,https://www.facebook.com/profile.php?id=100083238105340,673532812773709021,restaurant,Bribri,Get directions,https://www.puertoviejosatellite.com/en/bribri/bendita-comida/,2025-08-17,active,pvs_cache
