business_name,category,area,latitude,longitude,distance_km,geofilter,geofilter_reason,coordinate_source,phone,normalized_phone,website,instagram_handle,instagram_url,facebook_url,google_maps_cid,verified_date,operating_status,url,instagram_enrich_source,instagram_enrich_date,instagram_enrich_confidence
Amimodo Beach Rooms,hotel,Puerto Viejo,9.659233,-82.750485,0.526,pass,area_included:Puerto Viejo,array,+506 2750 0257,+50627500257,,,,,,2026-03-22,active,https://www.puertoviejosatellite.com/en/puerto-viejo/amimodo-beach-rooms/,,,
Black Bamboo,hotel,Puerto Viejo,9.655909,-82.748043,0.579,pass,area_included:Puerto Viejo,array,+506 8306 5489,+50683065489,,blackbamboo_bedandbreakfast,https://www.instagram.com/blackbamboo_bedandbreakfast,https://www.facebook.com/Black-Bamboo-892726704246164/,9649993079907777710,2026-03-10,active,https://www.puertoviejosatellite.com/en/puerto-viejo/black-bamboo/,,,
Bungalows Calalú,hotel,Puerto Viejo,9.657855,-82.74947,0.501,pass,area_included:Puerto Viejo,array,+506 2750 0042,+50627500042,,,,https://www.facebook.com/p/Bungalows-Calal%C3%BA-100040526268731/,1614163454683628928,2025-06-08,active,https://www.puertoviejosatellite.com/en/puerto-viejo/bungalows-calalu/,,,
Cabinas Los Almendros,hotel,Puerto Viejo,9.657849,-82.754654,0.31,pass,area_included:Puerto Viejo,array,+506 2750 0235,+50627500235,http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Hotel_Review-g309265-d1048997-Reviews-Cabinas_Los_Almendros-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,,,https://www.facebook.com/cabinaslosalmendros1965,,2026-01-30,active,https://www.puertoviejosatellite.com/en/puerto-viejo/cabinas-los-almendros/,,,
Cabinas Guarana,hotel,Puerto Viejo,9.655722,-82.754012,0.086,pass,area_included:Puerto Viejo,array,+506 2750 0244,+50627500244,,guarana.puertoviejo,https://www.instagram.com/guarana.puertoviejo,https://www.facebook.com/Hotel-Guarana-100559913389730,3227485566230734531,2026-03-22,active,https://www.puertoviejosatellite.com/en/puerto-viejo/cabinas-guarana/,,,
Cabinas Jacaranda,hotel,Puerto Viejo,9.655754,-82.752945,0.055,pass,area_included:Puerto Viejo,array,+506 2750-0069,+50627500069,,,,,12370139056940041503,2026-03-20,active,https://www.puertoviejosatellite.com/en/puerto-viejo/cabinas-jacaranda/,,,
Cabinas Lika,hotel,Puerto Viejo,9.654925,-82.754631,0.155,pass,area_included:Puerto Viejo,array,+506 2750 0209,+50627500209,,,,,1111954385529331281,2026-02-24,active,https://www.puertoviejosatellite.com/en/puerto-viejo/cabinas-lika/,,,
Cabinas Mitchaelles,hotel,Puerto Viejo,9.65625,-82.751822,0.188,pass,area_included:Puerto Viejo,array,+506 8913 5713,+50689135713,,,,https://www.facebook.com/profile.php?id=100057273497525,,2026-03-21,active,https://www.puertoviejosatellite.com/en/puerto-viejo/cabinas-mitchaelles/,,,
Cabinas Monte Sol,hotel,Puerto Viejo,9.657552,-82.749233,0.506,pass,area_included:Puerto Viejo,array,+506 2750 0098,+50627500098,,,,https://www.facebook.com/montesolPuertoViejo,10951227846186482107,2026-03-04,active,https://www.puertoviejosatellite.com/en/puerto-viejo/cabinas-monte-sol/,,,
Cabinas Mor,hotel,Puerto Viejo,9.656621,-82.75285,0.144,pass,area_included:Puerto Viejo,array,+506 2750 0145,+50627500145,,,,https://www.facebook.com/Cabinas-Mor-121619867958355/,13919554959587676121,2026-01-27,active,https://www.puertoviejosatellite.com/en/puerto-viejo/cabinas-mor/,,,
