business_name,category,area,latitude,longitude,distance_km,geofilter,geofilter_reason,coordinate_source,phone,normalized_phone,website,instagram_handle,instagram_url,facebook_url,google_maps_cid,verified_date,operating_status,url,instagram_enrich_source,instagram_enrich_date,instagram_enrich_confidence,instagram_confidence,ig_verified,ig_verify_date,whatsapp,email,tiktok_url,youtube_url,twitter_url,other_social_urls,description_full
Amimodo Beach Rooms,hotel,Puerto Viejo,9.659233,-82.750485,0.526,pass,area_included:Puerto Viejo,array,+506 2750 0257,+50627500257,,,,,,2026-03-22,active,https://www.puertoviejosatellite.com/en/puerto-viejo/amimodo-beach-rooms/,direct_profile_check,2026-07-04,high,removed,false,2026-07-04,,,,,,,Double and quadruple rooms and an apartment with kitchen at the Amimodo Restaurant.
Black Bamboo,hotel,Puerto Viejo,9.655909,-82.748043,0.579,pass,area_included:Puerto Viejo,array,+506 8306 5489,+50683065489,,blackbamboo_bedandbreakfast,https://www.instagram.com/blackbamboo_bedandbreakfast,https://www.facebook.com/Black-Bamboo-892726704246164/,9649993079907777710,2026-03-10,active,https://www.puertoviejosatellite.com/en/puerto-viejo/black-bamboo/,,,,verified,true,2026-07-04,,,,,,,"Hotel. All the rooms have a private terrace, A/C, a small refrigerator, ceiling fan, a safe box, a queen-size bed with the option of adding a single bed, mosquito net, a desk, a closet, a private bathroom with hot water and 110/220V plugs. Breakfast and lunch can be ordered. 4.7 / 5 rating on Google Maps  9.5 / 10 rating on Booking.com  5.0 / 5 rating on Tripadvisor"
Bungalows Calalú,hotel,Puerto Viejo,9.657855,-82.74947,0.501,pass,area_included:Puerto Viejo,array,+506 2750 0042,+50627500042,,,,https://www.facebook.com/p/Bungalows-Calal%C3%BA-100040526268731/,1614163454683628928,2025-06-08,active,https://www.puertoviejosatellite.com/en/puerto-viejo/bungalows-calalu/,direct_profile_check,2026-07-04,high,removed,false,2026-07-04,,,,,,,"Bungalows surrounded by a tropical garden with exotic flowers, pool offering a beach-like entrance, a waterfall. All the bungalows are equipped with large verandas, with or without kitchen, screened windows, fan, and private bathroom with hot water. Some with A/C. English, French, Spanish spoken. Essence Wellness Spa. 4.4 / 5 rating on Google Maps  8.5 / 10 rating on Booking.com"
Cabinas Los Almendros,hotel,Puerto Viejo,9.657849,-82.754654,0.31,pass,area_included:Puerto Viejo,array,+506 2750 0235,+50627500235,http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Hotel_Review-g309265-d1048997-Reviews-Cabinas_Los_Almendros-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,cabinaslosalmendros,https://www.instagram.com/cabinaslosalmendros/,https://www.facebook.com/cabinaslosalmendros1965,,2026-01-30,active,https://www.puertoviejosatellite.com/en/puerto-viejo/cabinas-los-almendros/,direct_profile_check,2026-07-04,high,high,true,2026-07-04,,,,,,,Located in heart of Puerto Viejo. Rooms and 2 bedroom apartments with kitchenettes. Satellite TV and air conditioning and free wifi. Secure parking.
Cabinas Guarana,hotel,Puerto Viejo,9.655722,-82.754012,0.086,pass,area_included:Puerto Viejo,array,+506 2750 0244,+50627500244,,guarana.puertoviejo,https://www.instagram.com/guarana.puertoviejo,https://www.facebook.com/Hotel-Guarana-100559913389730,3227485566230734531,2026-03-22,active,https://www.puertoviejosatellite.com/en/puerto-viejo/cabinas-guarana/,,,,verified,true,2026-07-04,+50687903340,,,,,,"Hotel with 12 rooms. Tropical garden. Rooms all come with private bathroom, fan, mosquito net and a safe. They are cheerfully designed and painted in fun Caribbean colors and decorated with artistic touches by the Italian owners. 4.2 / 5 rating on Google Maps  8.5 / 10 rating on Booking.com"
Cabinas Jacaranda,hotel,Puerto Viejo,9.655754,-82.752945,0.055,pass,area_included:Puerto Viejo,array,+506 2750-0069,+50627500069,,cabinasjacaranda,https://www.instagram.com/cabinasjacaranda/,,12370139056940041503,2026-03-20,active,https://www.puertoviejosatellite.com/en/puerto-viejo/cabinas-jacaranda/,direct_profile_check,2026-07-04,high,high,true,2026-07-04,+50661861852,,,,,,"Rooms and bungalows within a private garden. Rooms with private baths, fans, hammocks, mosquito nets, private parking, laundry service, security box, yoga, massage. Apartments with kitchen. A/C available for extra cost. 4.3 / 5 rating on Google Maps  8.3 / 10 rating on Booking.com  3.9 / 5 rating on Tripadvisor"
Cabinas Lika,hotel,Puerto Viejo,9.654925,-82.754631,0.155,pass,area_included:Puerto Viejo,array,+506 2750 0209,+50627500209,,,,,1111954385529331281,2026-02-24,active,https://www.puertoviejosatellite.com/en/puerto-viejo/cabinas-lika/,direct_profile_check,2026-07-04,high,removed,false,2026-07-04,,,,,,,"Large, clean and basic rooms."
Cabinas Mitchaelles,hotel,Puerto Viejo,9.65625,-82.751822,0.188,pass,area_included:Puerto Viejo,array,+506 8913 5713,+50689135713,,,,https://www.facebook.com/profile.php?id=100057273497525,,2026-03-21,active,https://www.puertoviejosatellite.com/en/puerto-viejo/cabinas-mitchaelles/,direct_profile_check,2026-07-04,high,removed,false,2026-07-04,,,,,,,"Budget single rooms with shared bath and double and quad rooms with private bath,  TV. Some rooms with kitchenette. 4.0 / 5 rating on Google Maps  8.8 / 10 rating on Booking.com"
Cabinas Monte Sol,hotel,Puerto Viejo,9.657552,-82.749233,0.506,pass,area_included:Puerto Viejo,array,+506 2750 0098,+50627500098,,,,https://www.facebook.com/montesolPuertoViejo,10951227846186482107,2026-03-04,active,https://www.puertoviejosatellite.com/en/puerto-viejo/cabinas-monte-sol/,direct_profile_check,2026-07-04,high,removed,false,2026-07-04,,,,,,,"Offers bright and colorful rooms with shared or private bath, some with AC, a bungalow with kitchenette and private bath and a jungle house for families or groups of friends with 3 bedrooms, 2 baths, kitchen, terrace and TV. Open air lounge/bar area with a relaxed vibe for all guests. Just 200 meters from the sea at the south end of Puerto Viejo. German, English, Spanish spoken. 4.4 / 5 rating on Google Maps  9.0 / 10 rating on Booking.com"
Cabinas Mor,hotel,Puerto Viejo,9.656621,-82.75285,0.144,pass,area_included:Puerto Viejo,array,+506 2750 0145,+50627500145,,,,https://www.facebook.com/Cabinas-Mor-121619867958355/,13919554959587676121,2026-01-27,active,https://www.puertoviejosatellite.com/en/puerto-viejo/cabinas-mor/,direct_profile_check,2026-07-04,high,removed,false,2026-07-04,,,,,,,"Located in puerto viejo center. They have cabins and rooms with 2 beds, TV cable, bathroom and security box for each cabin. Some with fridge. Also parking and security 24/7."
